address,value,id,date,high,low,open,adj close,volume,close,swing,rsi,sma,ema,macd,signal,bb_up,bb_low,william,vol,onvolume,cmo,dpo,+di,-di,dx,adx,adxr,Target
So11111111111111111111111111111111111111112,193.99381091977838,3588,2024-03-26,193.99381091977838,193.99381091977838,193.99381091977838,193.99381091977838,193.99381091977838,193.99381091977838,38.9483,66.5944,190.9009,189.9644,2.0802,2.3851,194.613,187.1888,-0.0,1.6021,13447.68371432602,100.0,-0.0717,66.5952,33.4048,33.1903,25.4746,26.7102,0
So11111111111111111111111111111111111111112,191.6569103022975,3587,2024-03-26,191.6569103022975,191.6569103022975,191.6569103022975,191.6569103022975,191.6569103022975,191.6569103022975,0.0831,61.1931,190.5547,189.5402,1.9485,2.4613,194.3393,186.7701,-0.0,1.4407,13253.68990340624,18.5025,-1.961,61.1918,38.8082,22.3837,24.8811,25.8724,0
So11111111111111111111111111111111111111112,191.651922369881,3586,2024-03-26,191.651922369881,191.651922369881,191.651922369881,191.651922369881,191.651922369881,191.651922369881,30.4316,61.1784,190.2587,189.3174,1.99,2.5895,194.5448,185.9726,-0.0,0.6945,13062.032993103943,36.0957,-1.2525,61.1794,38.8206,22.3588,25.0732,25.415,1
So11111111111111111111111111111111111111112,189.826023854376,3585,2024-03-26,189.826023854376,189.826023854376,189.826023854376,189.826023854376,189.826023854376,189.826023854376,13.9744,56.4286,190.0734,189.0717,2.0144,2.7394,194.4227,185.7241,-52.8126,-0.2165,12870.381070734062,-32.6832,-1.9983,56.4299,43.5701,12.8599,25.282,25.152,0
So11111111111111111111111111111111111111112,188.9875603675156,3584,2024-03-26,188.9875603675156,188.9875603675156,188.9875603675156,188.9875603675156,188.9875603675156,188.9875603675156,0.6859,54.028,189.882,188.9923,2.2023,2.9206,194.5808,185.1832,-98.6104,-1.0727,12680.555046879686,-56.2162,-1.8562,54.0319,45.9681,8.0637,26.2376,25.6933,0
So11111111111111111111111111111111111111112,188.94640791741193,3583,2024-03-26,188.94640791741193,188.94640791741193,188.94640791741193,188.94640791741193,188.94640791741193,188.94640791741193,-31.0682,53.9128,189.6926,188.9928,2.4953,3.1002,194.8073,184.5779,-100.0,-0.8317,12491.567486512171,-57.3072,-1.3668,53.9163,46.0837,7.8325,27.6356,26.258,0
So11111111111111111111111111111111111111112,190.81049706904767,3582,2024-03-26,190.81049706904767,190.81049706904767,190.81049706904767,190.81049706904767,190.81049706904767,190.81049706904767,21.0733,60.2921,189.4859,188.9976,2.8374,3.2514,195.0212,183.9506,-54.758,-1.2108,12680.513894429583,-48.1295,0.8491,60.2938,39.7062,20.5875,29.1589,26.443,0
So11111111111111111111111111111111111111112,189.5461020256813,3581,2024-03-26,189.5461020256813,189.5461020256813,189.5461020256813,189.5461020256813,189.5461020256813,189.5461020256813,-39.3636,57.0944,189.1567,188.8068,3.0428,3.3549,195.1056,183.2078,-100.0,-1.1314,12489.703397360536,-89.8103,-0.458,57.0975,42.9025,14.195,29.8182,26.1868,0
So11111111111111111111111111111111111111112,191.90791585692548,3580,2024-03-26,191.90791585692548,191.90791585692548,191.90791585692548,191.90791585692548,191.90791585692548,191.90791585692548,-7.2027,66.3629,188.8278,188.729,3.3895,3.4329,195.3534,182.3022,-100.0,-0.4178,12679.249499386216,-55.93,1.4848,66.3635,33.6365,32.727,31.02,26.4321,0
So11111111111111111111111111111111111111112,192.34007778078822,3579,2024-03-26,192.34007778078822,192.34007778078822,192.34007778078822,192.34007778078822,192.34007778078822,192.34007778078822,-0.0126,68.245,188.2994,188.3944,3.5422,3.4438,195.4256,181.1732,-100.0,-0.3805,12871.157415243142,-13.7123,1.3581,68.2453,31.7547,36.4905,30.8887,26.1665,0
